punto,longitudine,latitudine
1,-122.5122525,48.7218238
2,-122.5122675,48.7225236
3,-122.5122788,48.7234048
4,-122.5124504,48.7243564
5,-122.5132015,48.7253115
6,-122.5163364,48.7265366
7,-122.5220184,48.7271934
8,-122.533391,48.7257609
9,-122.5471668,48.71917
10,-122.55266,48.7043712
11,-122.5489728,48.685031
12,-122.5436907,48.6573125
13,-122.5525656,48.6334887
14,-122.5629597,48.6278047
15,-122.5813274,48.6245143
16,-122.6235561,48.6234931
17,-122.6374435,48.6261085
18,-122.6678447,48.6346119
19,-122.715764,48.6628855
20,-122.7318308,48.6841216
21,-122.7485256,48.706484
22,-122.787321,48.746451
23,-122.8752117,48.7800579
24,-122.9761486,48.8180506
25,-123.0602627,48.8614357
26,-123.1581823,48.9150566
27,-123.1754152,48.9244874
28,-123.2892589,48.986747
29,-123.3180018,49.0025144
30,-123.352087,49.021206
31,-123.4802923,49.1773061
32,-123.569951,49.2478973
33,-123.6284618,49.2716088
34,-123.7259655,49.3035198
35,-123.8174868,49.340259
36,-123.9563608,49.3719019
37,-124.089201,49.3833745
38,-124.2303324,49.4055352
39,-124.3602543,49.4214667
40,-124.4198208,49.4381855
41,-124.4651651,49.466692
42,-124.4754391,49.4856314
43,-124.4877987,49.5180724
44,-124.5336323,49.5491554
45,-124.6043825,49.6062953
46,-124.6699314,49.6485103
47,-124.7679758,49.7452615
48,-124.8055439,49.7931188
49,-124.8421335,49.8444381
50,-124.9037599,49.8956422
51,-124.9492245,49.9066714
52,-125.0098209,49.9156367
53,-125.0755672,49.9321036
54,-125.1911211,49.9771931
55,-125.211523,49.999791
56,-125.2182178,50.0232882
57,-125.236783,50.0436155
58,-125.267828,50.0784007
59,-125.3141766,50.1152907
60,-125.3253603,50.1198422
61,-125.343359,50.1217848
62,-125.3521137,50.125967
63,-125.3557186,50.1385113
64,-125.3600359,50.1671474
65,-125.3713398,50.208545
66,-125.3852701,50.2404329
67,-125.3843861,50.2560917
68,-125.3962564,50.2716028
69,-125.4223232,50.3060031
70,-125.4242372,50.331909
71,-125.4269838,50.3379354
72,-125.4355411,50.3407457
73,-125.4461841,50.3405266
74,-125.463376,50.3376013
75,-125.47365,50.3382203
76,-125.482748,50.3417098
77,-125.4923611,50.3462232
78,-125.5133037,50.3501667
79,-125.5413103,50.3577624
80,-125.5622272,50.3714119
81,-125.5857448,50.3775428
82,-125.6248836,50.3729447
83,-125.6918316,50.3723973
84,-125.7203274,50.3676892
85,-125.7622127,50.370974
86,-125.7783489,50.374149
87,-125.7919102,50.3801701
88,-125.8159428,50.3868471
89,-125.851305,50.3889266
90,-125.8702135,50.3877227
91,-125.8825474,50.389255
92,-125.8979969,50.3951647
93,-125.9412556,50.405122
94,-125.9889774,50.4291859
95,-126.0603886,50.4611064
96,-126.0966091,50.4676628
97,-126.1511974,50.4708313
98,-126.2093906,50.4813189
99,-126.2763386,50.4922409
100,-126.3565044,50.5011952
101,-126.425169,50.4962815
102,-126.4861088,50.4975918
103,-126.5882473,50.5044707
104,-126.6287851,50.5133516
105,-126.6840343,50.5344855
106,-126.7540722,50.5471406
107,-126.7873659,50.5532433
