abbreviazione,porta,provincia,longitudine,latitudine,combinato
BEL,Bellingham,Washington,-122.4786854,48.7519112,"Bellingham, Washington"
UNA,Unalaska/Dutch Harbor,Alaska,-166.5400929,53.8945552,"Unalaska/Dutch Harbor, Alaska"
AKU,Akutan,Alaska,-165.7730556,54.1355556,"Akutan, Alaska"
YPR,Prince Rupert,British  Columbia,-130.3208187,54.3150367,"Prince Rupert, British  Columbia"
FPS,False Pass,Alaska,-163.415,54.8508333,"False Pass, Alaska"
KCV,King Cove,Alaska,-162.3102777,55.0616667,"King Cove, Alaska"
ANB,Annette Bay,Alaska,-131.5835026,55.1259047,"Annette Bay, Alaska"
CBY,Cold Bay,Alaska,-162.7183867,55.204498,"Cold Bay, Alaska"
SDP,Sand Point,Alaska,-160.4972222,55.3397222,"Sand Point, Alaska"
KTN,Ketchikan,Alaska,-131.6461112,55.3422222,"Ketchikan, Alaska"
CHG,Chignik,Alaska,-158.4022222,56.2952778,"Chignik, Alaska"
WRG,Wrangell,Alaska,-132.3766666,56.4708333,"Wrangell, Alaska"
PSG,Petersburg,Alaska,-132.9555556,56.8125,"Petersburg, Alaska"
KAE,Kake,Alaska,-133.9472222,56.9758333,"Kake, Alaska"
SIT,Sitka,Alaska,-135.33,57.0530556,"Sitka, Alaska"
OLD,Old Harbor,Alaska,-153.3038889,57.2027778,"Old Harbor, Alaska"
ANG,Angoon,Alaska,-134.5838889,57.5033333,"Angoon, Alaska"
TKE,Tenakee,Alaska,-135.218889,57.7808333,"Tenakee, Alaska"
KOD,Kodiak,Alaska,-152.4072221,57.79,"Kodiak, Alaska"
ORI,Port Lions,Alaska,-152.8822222,57.8675,"Port Lions, Alaska"
OUZ,Ouzinkie,Alaska,-152.5022222,57.9236111,"Ouzinkie, Alaska"
PEL,Pelican,Alaska,-136.2275,57.9608333,"Pelican, Alaska"
HNH,Hoonah,Alaska,-135.4436111,58.11,"Hoonah, Alaska"
JNU,Juneau (Auke Bay),Alaska,-134.6583071,58.3950682,"Juneau (Auke Bay), Alaska"
GUS,Gustavus,Alaska,-135.7369443,58.4133333,"Gustavus, Alaska"
HNS,Haines,Alaska,-135.445,59.2358333,"Haines, Alaska"
SDV,Seldovia,Alaska,-151.7113889,59.4380556,"Seldovia, Alaska"
SGY,Skagway,Alaska,-135.315279,59.4554025,"Skagway, Alaska"
YAK,Yakutat,Alaska,-139.7272808,59.5469878,"Yakutat, Alaska"
HOM,Homer,Alaska,-151.5483333,59.6425,"Homer, Alaska"
CHB,Chenega Bay,Alaska,-147.9448419,60.1003059,"Chenega Bay, Alaska"
CDV,Cordova,Alaska,-145.7525414,60.5424087,"Cordova, Alaska"
WTR,Whittier,Alaska,-148.6838888,60.7730556,"Whittier, Alaska"
TAT,Tatitlek,Alaska,-146.6774403,60.8671301,"Tatitlek, Alaska"
VDZ,Valdez,Alaska,-146.3483334,61.1308333,"Valdez, Alaska"
