abbreviazione,porta,provincia,combinato,longitudine,latitudine
BEL,Bellingham,Washington,"Bellingham, Washington",-122.4786854,48.7519112
UNA,Unalaska/Dutch Harbor,Alaska,"Unalaska/Dutch Harbor, Alaska",-166.5400929,53.8945552
AKU,Akutan,Alaska,"Akutan, Alaska",-165.7730556,54.1355556
YPR,Prince Rupert,British  Columbia,"Prince Rupert, British  Columbia",-130.3208187,54.3150367
FPS,False Pass,Alaska,"False Pass, Alaska",-163.415,54.8508333
KCV,King Cove,Alaska,"King Cove, Alaska",-162.3102777,55.0616667
ANB,Annette Bay,Alaska,"Annette Bay, Alaska",-131.5835026,55.1259047
CBY,Cold Bay,Alaska,"Cold Bay, Alaska",-162.7183867,55.204498
SDP,Sand Point,Alaska,"Sand Point, Alaska",-160.4972222,55.3397222
KTN,Ketchikan,Alaska,"Ketchikan, Alaska",-131.6461112,55.3422222
CHG,Chignik,Alaska,"Chignik, Alaska",-158.4022222,56.2952778
WRG,Wrangell,Alaska,"Wrangell, Alaska",-132.3766666,56.4708333
PSG,Petersburg,Alaska,"Petersburg, Alaska",-132.9555556,56.8125
KAE,Kake,Alaska,"Kake, Alaska",-133.9472222,56.9758333
SIT,Sitka,Alaska,"Sitka, Alaska",-135.33,57.0530556
OLD,Old Harbor,Alaska,"Old Harbor, Alaska",-153.3038889,57.2027778
ANG,Angoon,Alaska,"Angoon, Alaska",-134.5838889,57.5033333
TKE,Tenakee,Alaska,"Tenakee, Alaska",-135.218889,57.7808333
KOD,Kodiak,Alaska,"Kodiak, Alaska",-152.4072221,57.79
ORI,Port Lions,Alaska,"Port Lions, Alaska",-152.8822222,57.8675
OUZ,Ouzinkie,Alaska,"Ouzinkie, Alaska",-152.5022222,57.9236111
PEL,Pelican,Alaska,"Pelican, Alaska",-136.2275,57.9608333
HNH,Hoonah,Alaska,"Hoonah, Alaska",-135.4436111,58.11
JNU,Juneau (Auke Bay),Alaska,"Juneau (Auke Bay), Alaska",-134.6583071,58.3950682
GUS,Gustavus,Alaska,"Gustavus, Alaska",-135.7369443,58.4133333
HNS,Haines,Alaska,"Haines, Alaska",-135.445,59.2358333
SDV,Seldovia,Alaska,"Seldovia, Alaska",-151.7113889,59.4380556
SGY,Skagway,Alaska,"Skagway, Alaska",-135.315279,59.4554025
YAK,Yakutat,Alaska,"Yakutat, Alaska",-139.7272808,59.5469878
HOM,Homer,Alaska,"Homer, Alaska",-151.5483333,59.6425
CHB,Chenega Bay,Alaska,"Chenega Bay, Alaska",-147.9448419,60.1003059
CDV,Cordova,Alaska,"Cordova, Alaska",-145.7525414,60.5424087
WTR,Whittier,Alaska,"Whittier, Alaska",-148.6838888,60.7730556
TAT,Tatitlek,Alaska,"Tatitlek, Alaska",-146.6774403,60.8671301
VDZ,Valdez,Alaska,"Valdez, Alaska",-146.3483334,61.1308333
